event_id,unix_timestamp,date,state_code,state,state_abbr,mun_code,municipality,detained,total_people_dead,military_dead,navy_dead,federal_police_dead,afi_dead,state_police_dead,ministerial_police_dead,municipal_police_dead,public_prosecutor_dead,organized_crime_dead,civilian_dead,total_people_wounded,military_wounded,navy_wounded,federal_police_wounded,afi_wounded,state_police_wounded,ministerial_police_wounded,municipal_police_wounded,public_prosecutor_wounded,organized_crime_wounded,civilian_wounded,long_guns_seized,small_arms_seized,cartridge_sezied,clips_seized,vehicles_seized,afi,army,federal_police,ministerial_police,municipal_police,navy,other,state_police,source,organized_crime_lethality,army_lethality,navy_lethality,federal_police_lethality,organized_crime_lethality_diff,army_lethality_diff,navy_lethality_diff,federal_police_lethality_diff,organized_crime_NewIndex,army_NewIndex,navy_NewIndex,federal_police_NewIndex,perfect_lethality,category,global_id
17,1173852010,2007-03-14,10,Durango,DGO,7,Gómez Palacio,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,confrontations,Inf,NaN,NaN,NaN,2,0,0,0,1,NaN,NaN,NaN,1,perfect_lethality,17
18,1173938410,2007-03-15,25,Sinaloa,SIN,11,Guasave,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,confrontations,Inf,NaN,NaN,NaN,1,0,0,0,1,NaN,NaN,NaN,1,perfect_lethality,18
19,1174197610,2007-03-18,30,Veracruz de Ignacio de la Llave,VER,28,Boca del Río,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,confrontations,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,no_dead_wounded,19
20,1175407210,2007-04-01,12,Guerrero,GRO,16,Coahuayutla de José María Izazaga,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,confrontations,Inf,NaN,NaN,NaN,3,0,0,0,1,NaN,NaN,NaN,1,perfect_lethality,20
21,1175749210,2007-04-05,25,Sinaloa,SIN,3,Badiraguato,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,confrontations,0.5,NaN,NaN,NaN,-1,0,0,0,-0.3333333333333333,NaN,NaN,NaN,0,dead.wounded,21
22,1176267610,2007-04-11,19,Nuevo León,NL,34,Marín,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,926,36,1,0,1,0,0,0,0,0,0,confrontations,Inf,NaN,NaN,NaN,2,0,0,0,1,NaN,NaN,NaN,1,perfect_lethality,22
23,1176267610,2007-04-11,16,Michoacán de Ocampo,MICH,82,Tacámbaro,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,confrontations,0,NaN,NaN,NaN,-1,0,0,0,-1,NaN,NaN,NaN,0,just_wounded,23
24,1176526810,2007-04-14,30,Veracruz de Ignacio de la Llave,VER,87,Xalapa,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,confrontations,Inf,NaN,NaN,NaN,2,0,0,0,1,NaN,NaN,NaN,1,perfect_lethality,24
25,1176613210,2007-04-15,30,Veracruz de Ignacio de la Llave,VER,193,Veracruz,0,3,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,confrontations,0.75,NaN,NaN,NaN,-1,0,0,0,-0.14285714285714285,NaN,NaN,NaN,0,dead.wounded,25
26,1176699610,2007-04-16,10,Durango,DGO,23,Pueblo Nuevo,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,confrontations,Inf,NaN,NaN,NaN,1,0,0,0,1,NaN,NaN,NaN,1,perfect_lethality,26
